1 Section 01-17
(354)greedy	欲の深い
(354)reward	(名)見返り、報酬
(355)There you go again!	またそれだ、また始まったよ！
(355)be hard up	お金に困っている
(356)amount to ...	(動)...に達する
(357)cling to ...	...にしがみつく
(357)glory	栄光、名誉
(357)leave ... behind	...を置き去りにする
(358)adapt to ...	...に順応する
(358)harsh	厳しい
(359)one of these days	いつかは、近いうちに
(359)prosperity	繁栄
(360)qualification	資格、能力
(361)enclose ...	...を同封する
(361)envelope	封筒
(361)personnel	社員、職員
(362)at best	よくても、せいぜい
(362)optimistic	(形)楽観的な
(362)work out	うまくいく
(363)registration	登録
(365)inquiry	問合せ、質問
(367)cannnot make heads or tails of ...	...がさっぱりわからない
(368)at one time	同時に、一度に
(369)mind your own business	おせっかいはやめろ
(370)lose one's temper	かっとなる
(370)persist in ...	しつこく...する
(371)resist (...)	(...を)我慢する
(371)temptation	誘惑
(373)talk back (to ...)	(...に)口答えをする
(373)there's no point in doing	(定)doingするのは無駄だ
(375)look up to ...	...を尊敬する
(375)on the contrary	それどころか
(376)arouse ...	(動)...を呼び起こす
(376)insult	侮辱
(377)be fed up (with ...)	(...に)うんざりしている
(377)make up one's mind (to do)	(doすると)決心する
(378)get by (on...)	(...で)何とか生活していく
(378)make ends meet	何とかやりくりする
(379)A might[may] well do	Aがdoするのももっともだ
(379)challenging	(形)やりがいのある
(380)...-fold	(尾)...倍の[に]
(380)surplus	黒字
(380)swell (数量)	(数量が)増大する
(381)absurd	(形)ばかげた
(381)loyalty	忠誠
(381)notion	考え
(382)all the way from ...	...からはるばる
(382)commute	通勤する
(382)distant	(形)遠い
(382)suburb	郊外
(384)devote A to B	AをBに捧げる
(384)orphan	孤児
(385)in need	(形)困っている
(386)give ... away	...をただであげる、...を寄付する
(387)autobiography	自叙伝
(388)integrity	高潔さ、誠実さ
(388)run for ...	...に立候補する
(390)municipal	市[町]の
(390)specific	具体的な
(391)force A to do	Aにdoするように強いる
(391)it is the case that ~	~ということは事実だ
(391)pension	年金
(391)politician	政治家
(393)associate A with B	AからBを連想する
(393)hypocrisy	偽善
(394)enhance ...	...を高める
(394)exploit ...	...から搾取する
(395)conservative	保守的な
(395)diminish	弱まる
(395)dominant	支配的な
(395)exert ...	...を行使する
(396)spokesperson	報道担当者
(397)pull strings	糸を引く、操る
(398)bureaucrat	官僚
(398)exclusive	排他[閉鎖]的な、高級な
(398)in return (for ...)	(...の)お返しとして
(399)flatly	(副)きっぱりと
(399)leak (...)	...を漏らす
(400)dare (to) do ...	(否定文で)思い切ってdoする
(401)dignity	尊厳
(401)retain ...	...を維持する
(401)sacrifice ...	...を犠牲にする
(402)fate	(名)運命
(402)might as well doA as doB	doBするくらいならdoAするほうがましだ
(402)reconcile oneself to ...	(動)...を仕方なく受け入れる
(403)be about to do	doするところである
(403)commit ...	...(犯罪・過失)を犯す
(403)suicide	(名)自殺
(403)think better of ...	...をしないことにする


5 Section 34-36
(404)linger (on)	(動)まだ続いている[残っている]
(404)skepticism	(名)疑い
(404)vague	曖昧な、漠然とした
(405)bribe	賄賂
(405)senior	上級の
(405)suspect A of B	AにBの容疑をかける
(406)corruption	汚職、不正、贈賄
(406)dismiss ...	...を解雇[解任]する
(407)be involved in ...	...に巻き込まれる、...にかかわる
(407)fraud	不正、詐欺
(407)scheme	企み、陰謀
(408)a pile of ...	(山ほど)たくさんの...
(408)examine ...	...を調べる
(408)relevant (to ...)	(形)(...と)関連性のある
(409)come to light	明るみに出る
(409)cover ... up	...を隠す[隠ぺいする]
(409)decade	(名)10年(間)
(409)transaction	商取引
(409)trial	裁判、審判
(410)detective	探偵、刑事
(410)on the spot	その場で、直ちに
(410)take ... down	...(人の言葉)を書き取る
(410)testimony	証言
(410)word for word	一言一句違わずに
(411)conscience	良心
(411)pang of ...	(名)(突然襲う精神的な)...の苦しみ
(411)way out	逃れる道[方法]
(412)haunt ...	...の心[脳裏]に付きまとう
(412)vivid	鮮明な
(413)by and large	概して
(413)intrude (on ...)	(...を)侵害する
(414)manuscript	原稿
(414)over and over (again)	何度も(何度も)繰り返して
(415)be second to none	(動)何にも劣らない
(415)when it comes to ...	...のこととなると
(416)criticism	批判、非難
(416)elite	エリート(たち)
(416)on the whole	概して
(417)addict	中毒者
(417)all but	(副)ほとんど
(417)ruin ...	...を失墜させる
(417)tabloid	大衆ゴシップ紙
(418)flaw (in ...)	(名)(...の)欠陥、問題箇所
(418)numerous	多くの
(419)engage in ...	(動)...にかかわる
(419)tolerate ...	...に寛容な態度を取る
(420)confine A to B	AをBに閉じ込める
(420)notorious	悪名高い
(420)ultimately	最終的には
(421)put ... down	...を鎮圧する
(421)riot	暴動
(421)swiftly	素早く
(421)troop	軍隊
(422)appeal to ...	...に訴える
(422)resort to ...	(動)...という手段を取る
(423)adopt ...	...を採用する
(423)for the moment	(副)今のところは
(424)armed forces	全軍
(424)succeed in ...	(動)...に成功する
